Descripcio_causa_mediata,Numero_expedient
No hi ha causa mediata,2019S001587    
No hi ha causa mediata,2019S007438    
No hi ha causa mediata,2019S004837    
No hi ha causa mediata,2019S007596    
Calçada en mal estat,2019S007999    
No hi ha causa mediata,2019S009232    
No hi ha causa mediata,2019S009057    
No hi ha causa mediata,2019S001749    
No hi ha causa mediata,2019S000283    
No hi ha causa mediata,2019S010013    
No hi ha causa mediata,2019S008193    
No hi ha causa mediata,2019S002744    
No hi ha causa mediata,2019S000683    
No hi ha causa mediata,2019S005970    
No hi ha causa mediata,2019S001567    
No hi ha causa mediata,2019S006745    
No hi ha causa mediata,2019S004163    
No hi ha causa mediata,2019S007628    
No hi ha causa mediata,2019S007780    
No hi ha causa mediata,2019S000131    
No hi ha causa mediata,2019S009631    
No hi ha causa mediata,2019S006117    
No hi ha causa mediata,2019S009305    
Alcoholèmia,2019S006356    
Alcoholèmia,2019S006720    
No hi ha causa mediata,2019S004261    
No hi ha causa mediata,2019S007722    
No hi ha causa mediata,2019S005330    
No hi ha causa mediata,2019S005165    
No hi ha causa mediata,2019S006399    
No hi ha causa mediata,2019S008383    
No hi ha causa mediata,2019S002157    
No hi ha causa mediata,2019S005013    
No hi ha causa mediata,2019S003534    
No hi ha causa mediata,2019S009335    
No hi ha causa mediata,2019S002727    
No hi ha causa mediata,2019S009034    
No hi ha causa mediata,2019S004320    
No hi ha causa mediata,2019S003399    
No hi ha causa mediata,2019S001409    
No hi ha causa mediata,2019S004981    
No hi ha causa mediata,2019S008421    
No hi ha causa mediata,2019S009151    
No hi ha causa mediata,2019S004587    
No hi ha causa mediata,2019S006922    
No hi ha causa mediata,2019S004027    
No hi ha causa mediata,2019S006807    
No hi ha causa mediata,2019S004339    
No hi ha causa mediata,2019S009047    
No hi ha causa mediata,2019S005191    
No hi ha causa mediata,2019S000188    
Calçada en mal estat,2019S001272    
No hi ha causa mediata,2019S005434    
No hi ha causa mediata,2019S005096    
No hi ha causa mediata,2019S004588    
No hi ha causa mediata,2019S009849    
No hi ha causa mediata,2019S008382    
No hi ha causa mediata,2019S001870    
No hi ha causa mediata,2019S009468    
No hi ha causa mediata,2019S004290    
No hi ha causa mediata,2019S006695    
No hi ha causa mediata,2019S006855    
No hi ha causa mediata,2019S003351    
No hi ha causa mediata,2019S007816    
No hi ha causa mediata,2019S003898    
Alcoholèmia,2019S001523    
No hi ha causa mediata,2019S009833    
No hi ha causa mediata,2019S000972    
No hi ha causa mediata,2019S008460    
No hi ha causa mediata,2019S007541    
No hi ha causa mediata,2019S007132    
No hi ha causa mediata,2019S007414    
No hi ha causa mediata,2019S003366    
Alcoholèmia,2019S009837    
No hi ha causa mediata,2019S008728    
No hi ha causa mediata,2019S002959    
Alcoholèmia,2019S001146    
Calçada en mal estat,2019S000731    
No hi ha causa mediata,2019S002502    
No hi ha causa mediata,2019S009970    
No hi ha causa mediata,2019S005082    
No hi ha causa mediata,2019S000560    
No hi ha causa mediata,2019S008932    
No hi ha causa mediata,2019S005119    
No hi ha causa mediata,2019S007360    
No hi ha causa mediata,2019S005998    
No hi ha causa mediata,2019S003284    
No hi ha causa mediata,2019S004790    
No hi ha causa mediata,2019S005536    
No hi ha causa mediata,2019S003522    
No hi ha causa mediata,2019S007391    
No hi ha causa mediata,2019S004989    
Drogues o medicaments,2019S007149    
No hi ha causa mediata,2019S006433    
No hi ha causa mediata,2019S002327    
No hi ha causa mediata,2019S007885    
No hi ha causa mediata,2019S004655    
Alcoholèmia,2019S007480    
No hi ha causa mediata,2019S008647    
No hi ha causa mediata,2019S004424    
Alcoholèmia,2019S004205    
No hi ha causa mediata,2019S005337    
No hi ha causa mediata,2019S005722    
No hi ha causa mediata,2019S006392    
No hi ha causa mediata,2019S006449    
No hi ha causa mediata,2019S009955    
Alcoholèmia,2019S002397    
No hi ha causa mediata,2019S007418    
No hi ha causa mediata,2019S002935    
No hi ha causa mediata,2019S003994    
No hi ha causa mediata,2019S006251    
No hi ha causa mediata,2019S006685    
No hi ha causa mediata,2019S000840    
No hi ha causa mediata,2019S009433    
No hi ha causa mediata,2019S001990    
No hi ha causa mediata,2019S004975    
Calçada en mal estat,2019S003093    
No hi ha causa mediata,2019S001869    
No hi ha causa mediata,2019S000962    
No hi ha causa mediata,2019S000722    
No hi ha causa mediata,2019S002800    
No hi ha causa mediata,2019S006584    
Alcoholèmia,2019S001015    
No hi ha causa mediata,2019S009183    
No hi ha causa mediata,2019S003036    
No hi ha causa mediata,2019S009893    
No hi ha causa mediata,2019S008874    
No hi ha causa mediata,2019S003192    
No hi ha causa mediata,2019S007790    
No hi ha causa mediata,2019S008622    
Alcoholèmia,2019S006937    
No hi ha causa mediata,2019S005770    
No hi ha causa mediata,2019S005854    
No hi ha causa mediata,2019S000245    
No hi ha causa mediata,2019S006065    
No hi ha causa mediata,2019S004612    
Excés de velocitat o inadequada,2019S007458    
No hi ha causa mediata,2019S008752    
No hi ha causa mediata,2019S002368    
No hi ha causa mediata,2019S001685    
No hi ha causa mediata,2019S006444    
No hi ha causa mediata,2019S009348    
No hi ha causa mediata,2019S003015    
No hi ha causa mediata,2019S008551    
No hi ha causa mediata,2019S004595    
No hi ha causa mediata,2019S001065    
No hi ha causa mediata,2019S003126    
No hi ha causa mediata,2019S005372    
No hi ha causa mediata,2019S007882    
No hi ha causa mediata,2019S004318    
Alcoholèmia,2019S003452    
Alcoholèmia,2019S006218    
No hi ha causa mediata,2019S007586    
No hi ha causa mediata,2019S007058    
Alcoholèmia,2019S000238    
No hi ha causa mediata,2019S001164    
No hi ha causa mediata,2019S000631    
No hi ha causa mediata,2019S001891    
No hi ha causa mediata,2019S008581    
No hi ha causa mediata,2019S003513    
No hi ha causa mediata,2019S006025    
No hi ha causa mediata,2019S004085    
No hi ha causa mediata,2019S004891    
No hi ha causa mediata,2019S002850    
No hi ha causa mediata,2019S004285    
No hi ha causa mediata,2019S000708    
No hi ha causa mediata,2019S001816    
No hi ha causa mediata,2019S000301    
No hi ha causa mediata,2019S005396    
No hi ha causa mediata,2019S000480    
No hi ha causa mediata,2019S003968    
No hi ha causa mediata,2019S002043    
No hi ha causa mediata,2019S006401    
No hi ha causa mediata,2019S006778    
No hi ha causa mediata,2019S006182    
No hi ha causa mediata,2019S003766    
No hi ha causa mediata,2019S009937    
No hi ha causa mediata,2019S007712    
No hi ha causa mediata,2019S003912    
No hi ha causa mediata,2019S001184    
No hi ha causa mediata,2019S008851    
No hi ha causa mediata,2019S003276    
Alcoholèmia,2019S006311    
No hi ha causa mediata,2019S002240    
No hi ha causa mediata,2019S009667    
No hi ha causa mediata,2019S009513    
No hi ha causa mediata,2019S001720    
No hi ha causa mediata,2019S006532    
No hi ha causa mediata,2019S007544    
No hi ha causa mediata,2019S007877    
No hi ha causa mediata,2019S002807    
No hi ha causa mediata,2019S003640    
No hi ha causa mediata,2019S005268    
No hi ha causa mediata,2019S004257    
No hi ha causa mediata,2019S008528    
No hi ha causa mediata,2019S003322    
No hi ha causa mediata,2019S003872    
No hi ha causa mediata,2019S002204    
No hi ha causa mediata,2019S007171    
No hi ha causa mediata,2019S008051    
No hi ha causa mediata,2019S001735    
No hi ha causa mediata,2019S001758    
No hi ha causa mediata,2019S006237    
No hi ha causa mediata,2019S002252    
No hi ha causa mediata,2019S006059    
No hi ha causa mediata,2019S003672    
No hi ha causa mediata,2019S002801    
Drogues o medicaments,2019S000170    
No hi ha causa mediata,2019S005691    
No hi ha causa mediata,2019S005069    
No hi ha causa mediata,2019S001941    
No hi ha causa mediata,2019S000633    
No hi ha causa mediata,2019S000669    
No hi ha causa mediata,2019S001961    
No hi ha causa mediata,2019S004423    
No hi ha causa mediata,2019S004697    
No hi ha causa mediata,2019S002600    
No hi ha causa mediata,2019S000289    
No hi ha causa mediata,2019S005460    
No hi ha causa mediata,2019S002219    
No hi ha causa mediata,2019S002966    
No hi ha causa mediata,2019S000475    
No hi ha causa mediata,2019S008508    
No hi ha causa mediata,2019S007261    
No hi ha causa mediata,2019S008797    
No hi ha causa mediata,2019S003223    
No hi ha causa mediata,2019S006176    
No hi ha causa mediata,2019S003073    
No hi ha causa mediata,2019S004020    
No hi ha causa mediata,2019S007556    
No hi ha causa mediata,2019S001260    
No hi ha causa mediata,2019S001815    
No hi ha causa mediata,2019S004982    
No hi ha causa mediata,2019S008596    
No hi ha causa mediata,2019S006606    
No hi ha causa mediata,2019S001779    
No hi ha causa mediata,2019S008796    
No hi ha causa mediata,2019S002369    
No hi ha causa mediata,2019S000650    
No hi ha causa mediata,2019S002080    
No hi ha causa mediata,2019S001265    
No hi ha causa mediata,2019S002867    
No hi ha causa mediata,2019S000500    
No hi ha causa mediata,2019S006854    
No hi ha causa mediata,2019S009696    
No hi ha causa mediata,2019S008613    
No hi ha causa mediata,2019S009377    
No hi ha causa mediata,2019S009235    
No hi ha causa mediata,2019S008662    
No hi ha causa mediata,2019S008226    
No hi ha causa mediata,2019S006828    
No hi ha causa mediata,2019S003220    
No hi ha causa mediata,2019S009823    
No hi ha causa mediata,2019S009267    
No hi ha causa mediata,2019S004373    
No hi ha causa mediata,2019S002357    
No hi ha causa mediata,2019S003103    
Objectes o animals a la calçada,2019S005600    
No hi ha causa mediata,2019S002006    
No hi ha causa mediata,2019S003146    
No hi ha causa mediata,2019S004112    
No hi ha causa mediata,2019S002372    
No hi ha causa mediata,2019S005250    
No hi ha causa mediata,2019S007974    
No hi ha causa mediata,2019S001753    
No hi ha causa mediata,2019S002872    
No hi ha causa mediata,2019S002261    
No hi ha causa mediata,2019S006630    
No hi ha causa mediata,2019S008345    
No hi ha causa mediata,2019S001850    
No hi ha causa mediata,2019S002879    
No hi ha causa mediata,2019S002025    
No hi ha causa mediata,2019S001669    
No hi ha causa mediata,2019S004931    
Calçada en mal estat,2019S004533    
No hi ha causa mediata,2019S002615    
No hi ha causa mediata,2019S006267    
No hi ha causa mediata,2019S004539    
No hi ha causa mediata,2019S003085    
No hi ha causa mediata,2019S005827    
No hi ha causa mediata,2019S005794    
No hi ha causa mediata,2019S001248    
No hi ha causa mediata,2019S005675    
No hi ha causa mediata,2019S000873    
No hi ha causa mediata,2019S005749    
No hi ha causa mediata,2019S004487    
No hi ha causa mediata,2019S004651    
No hi ha causa mediata,2019S000777    
No hi ha causa mediata,2019S000109    
No hi ha causa mediata,2019S005804    
No hi ha causa mediata,2019S007835    
No hi ha causa mediata,2019S008182    
No hi ha causa mediata,2019S006562    
No hi ha causa mediata,2019S002222    
No hi ha causa mediata,2019S008994    
No hi ha causa mediata,2019S004435    
No hi ha causa mediata,2019S006222    
No hi ha causa mediata,2019S003574    
No hi ha causa mediata,2019S006075    
No hi ha causa mediata,2019S001156    
No hi ha causa mediata,2019S007365    
No hi ha causa mediata,2019S005496    
Alcoholèmia,2019S002929    
No hi ha causa mediata,2019S008177    
No hi ha causa mediata,2019S007083    
No hi ha causa mediata,2019S001171    
No hi ha causa mediata,2019S005179    
No hi ha causa mediata,2019S005505    
No hi ha causa mediata,2019S008642    
No hi ha causa mediata,2019S002147    
No hi ha causa mediata,2019S002183    
No hi ha causa mediata,2019S001083    
No hi ha causa mediata,2019S002413    
No hi ha causa mediata,2019S002289    
No hi ha causa mediata,2019S005980    
No hi ha causa mediata,2019S004086    
No hi ha causa mediata,2019S007746    
No hi ha causa mediata,2019S003374    
No hi ha causa mediata,2019S004071    
No hi ha causa mediata,2019S003864    
No hi ha causa mediata,2019S002433    
No hi ha causa mediata,2019S003821    
No hi ha causa mediata,2019S004700    
No hi ha causa mediata,2019S007844    
No hi ha causa mediata,2019S008833    
No hi ha causa mediata,2019S001477    
No hi ha causa mediata,2019S004090    
No hi ha causa mediata,2019S006062    
No hi ha causa mediata,2019S003907    
No hi ha causa mediata,2019S001319    
No hi ha causa mediata,2019S005390    
No hi ha causa mediata,2019S001471    
No hi ha causa mediata,2019S007799    
No hi ha causa mediata,2019S004755    
No hi ha causa mediata,2019S009092    
No hi ha causa mediata,2019S009967    
No hi ha causa mediata,2019S002205    
Alcoholèmia,2019S003212    
No hi ha causa mediata,2019S005942    
No hi ha causa mediata,2019S004184    
No hi ha causa mediata,2019S008729    
No hi ha causa mediata,2019S007403    
No hi ha causa mediata,2019S008393    
No hi ha causa mediata,2019S004736    
No hi ha causa mediata,2019S007779    
No hi ha causa mediata,2019S005425    
No hi ha causa mediata,2019S005656    
No hi ha causa mediata,2019S006339    
No hi ha causa mediata,2019S007017    
No hi ha causa mediata,2019S003045    
No hi ha causa mediata,2019S004244    
No hi ha causa mediata,2019S009879    
No hi ha causa mediata,2019S008362    
No hi ha causa mediata,2019S002617    
No hi ha causa mediata,2019S002904    
No hi ha causa mediata,2019S008332    
No hi ha causa mediata,2019S009601    
No hi ha causa mediata,2019S004099    
No hi ha causa mediata,2019S001924    
No hi ha causa mediata,2019S004109    
No hi ha causa mediata,2019S008314    
No hi ha causa mediata,2019S001575    
No hi ha causa mediata,2019S007180    
No hi ha causa mediata,2019S008789    
No hi ha causa mediata,2019S001623    
No hi ha causa mediata,2019S003523    
No hi ha causa mediata,2019S008477    
No hi ha causa mediata,2019S007043    
No hi ha causa mediata,2019S000705    
No hi ha causa mediata,2019S008690    
No hi ha causa mediata,2019S009392    
No hi ha causa mediata,2019S004045    
Alcoholèmia,2019S001064    
No hi ha causa mediata,2019S006517    
No hi ha causa mediata,2019S006160    
No hi ha causa mediata,2019S004765    
No hi ha causa mediata,2019S006021    
No hi ha causa mediata,2019S002172    
No hi ha causa mediata,2019S003680    
No hi ha causa mediata,2019S001848    
No hi ha causa mediata,2019S004155    
No hi ha causa mediata,2019S005904    
No hi ha causa mediata,2019S009685    
No hi ha causa mediata,2019S002547    
No hi ha causa mediata,2019S005180    
No hi ha causa mediata,2019S009508    
No hi ha causa mediata,2019S006352    
No hi ha causa mediata,2019S004218    
No hi ha causa mediata,2019S005036    
No hi ha causa mediata,2019S005050    
No hi ha causa mediata,2019S008714    
No hi ha causa mediata,2019S003376    
No hi ha causa mediata,2019S009557    
No hi ha causa mediata,2019S003920    
No hi ha causa mediata,2019S001960    
No hi ha causa mediata,2019S009450    
No hi ha causa mediata,2019S003962    
No hi ha causa mediata,2019S006869    
No hi ha causa mediata,2019S006111    
No hi ha causa mediata,2019S001098    
No hi ha causa mediata,2019S007592    
No hi ha causa mediata,2019S006600    
No hi ha causa mediata,2019S006387    
No hi ha causa mediata,2019S002937    
Alcoholèmia,2019S000204    
Calçada en mal estat,2019S009507    
No hi ha causa mediata,2019S005142    
No hi ha causa mediata,2019S005768    
Alcoholèmia,2019S002402    
No hi ha causa mediata,2019S006571    
No hi ha causa mediata,2019S006773    
No hi ha causa mediata,2019S002290    
No hi ha causa mediata,2019S008133    
No hi ha causa mediata,2019S006214    
No hi ha causa mediata,2019S007258    
No hi ha causa mediata,2019S008291    
No hi ha causa mediata,2019S006923    
No hi ha causa mediata,2019S002745    
No hi ha causa mediata,2019S004472    
No hi ha causa mediata,2019S007412    
No hi ha causa mediata,2019S006053    
No hi ha causa mediata,2019S001617    
No hi ha causa mediata,2019S002313    
No hi ha causa mediata,2019S008800    
No hi ha causa mediata,2019S003379    
No hi ha causa mediata,2019S002445    
No hi ha causa mediata,2019S008466    
No hi ha causa mediata,2019S008534    
No hi ha causa mediata,2019S005327    
No hi ha causa mediata,2019S006556    
No hi ha causa mediata,2019S007141    
Calçada en mal estat,2019S008109    
No hi ha causa mediata,2019S005574    
No hi ha causa mediata,2019S006952    
No hi ha causa mediata,2019S005117    
No hi ha causa mediata,2019S003844    
No hi ha causa mediata,2019S003458    
No hi ha causa mediata,2019S001035    
No hi ha causa mediata,2019S004056    
No hi ha causa mediata,2019S007661    
No hi ha causa mediata,2019S004054    
No hi ha causa mediata,2019S005132    
No hi ha causa mediata,2019S001855    
No hi ha causa mediata,2019S001531    
No hi ha causa mediata,2019S003516    
No hi ha causa mediata,2019S005497    
No hi ha causa mediata,2019S004201    
No hi ha causa mediata,2019S005055    
No hi ha causa mediata,2019S006264    
No hi ha causa mediata,2019S004809    
No hi ha causa mediata,2019S006539    
No hi ha causa mediata,2019S000293    
No hi ha causa mediata,2019S008402    
No hi ha causa mediata,2019S005168    
No hi ha causa mediata,2019S008414    
No hi ha causa mediata,2019S004437    
No hi ha causa mediata,2019S003772    
No hi ha causa mediata,2019S001208    
No hi ha causa mediata,2019S008265    
No hi ha causa mediata,2019S008148    
No hi ha causa mediata,2019S003482    
No hi ha causa mediata,2019S004841    
No hi ha causa mediata,2019S002625    
No hi ha causa mediata,2019S004935    
No hi ha causa mediata,2019S006495    
No hi ha causa mediata,2019S001510    
No hi ha causa mediata,2019S000125    
No hi ha causa mediata,2019S006667    
No hi ha causa mediata,2019S000803    
No hi ha causa mediata,2019S000635    
Alcoholèmia,2019S008712    
No hi ha causa mediata,2019S000866    
No hi ha causa mediata,2019S009349    
No hi ha causa mediata,2019S003406    
No hi ha causa mediata,2019S008771    
No hi ha causa mediata,2019S002258    
Alcoholèmia,2019S003451    
No hi ha causa mediata,2019S004663    
No hi ha causa mediata,2019S004629    
Alcoholèmia,2019S005755    
No hi ha causa mediata,2019S009350    
No hi ha causa mediata,2019S008625    
Alcoholèmia,2019S006183    
No hi ha causa mediata,2019S007254    
No hi ha causa mediata,2019S008756    
No hi ha causa mediata,2019S004980    
No hi ha causa mediata,2019S006686    
No hi ha causa mediata,2019S009790    
No hi ha causa mediata,2019S003485    
No hi ha causa mediata,2019S001048    
No hi ha causa mediata,2019S009788    
No hi ha causa mediata,2019S002713    
No hi ha causa mediata,2019S006514    
No hi ha causa mediata,2019S005030    
No hi ha causa mediata,2019S000285    
No hi ha causa mediata,2019S006801    
No hi ha causa mediata,2019S005579    
No hi ha causa mediata,2019S008802    
Alcoholèmia,2019S006847    
No hi ha causa mediata,2019S000900    
No hi ha causa mediata,2019S005610    
No hi ha causa mediata,2019S006769    
No hi ha causa mediata,2019S001569    
No hi ha causa mediata,2019S009571    
No hi ha causa mediata,2019S000142    
No hi ha causa mediata,2019S000757    
No hi ha causa mediata,2019S002581    
No hi ha causa mediata,2019S008450    
No hi ha causa mediata,2019S003204    
No hi ha causa mediata,2019S001634    
No hi ha causa mediata,2019S002379    
No hi ha causa mediata,2019S007332    
No hi ha causa mediata,2019S000358    
No hi ha causa mediata,2019S003001    
No hi ha causa mediata,2019S002922    
No hi ha causa mediata,2019S008567    
No hi ha causa mediata,2019S008276    
No hi ha causa mediata,2019S004608    
No hi ha causa mediata,2019S007124    
No hi ha causa mediata,2019S006281    
No hi ha causa mediata,2019S009143    
No hi ha causa mediata,2019S008105    
No hi ha causa mediata,2019S003521    
No hi ha causa mediata,2019S008474    
No hi ha causa mediata,2019S005122    
No hi ha causa mediata,2019S001318    
No hi ha causa mediata,2019S001719    
No hi ha causa mediata,2019S007355    
No hi ha causa mediata,2019S004107    
No hi ha causa mediata,2019S004376    
No hi ha causa mediata,2019S002911    
No hi ha causa mediata,2019S007075    
No hi ha causa mediata,2019S003193    
No hi ha causa mediata,2019S010026    
No hi ha causa mediata,2019S000765    
Alcoholèmia,2019S001768    
No hi ha causa mediata,2019S009023    
No hi ha causa mediata,2019S002759    
No hi ha causa mediata,2019S004572    
No hi ha causa mediata,2019S000074    
No hi ha causa mediata,2019S006192    
No hi ha causa mediata,2019S002319    
No hi ha causa mediata,2019S003488    
No hi ha causa mediata,2019S004814    
No hi ha causa mediata,2019S007387    
No hi ha causa mediata,2019S006986    
No hi ha causa mediata,2019S000979    
No hi ha causa mediata,2019S008783    
No hi ha causa mediata,2019S007377    
No hi ha causa mediata,2019S008612    
No hi ha causa mediata,2019S003043    
No hi ha causa mediata,2019S000403    
No hi ha causa mediata,2019S002269    
No hi ha causa mediata,2019S008282    
No hi ha causa mediata,2019S007705    
No hi ha causa mediata,2019S009222    
No hi ha causa mediata,2019S008772    
No hi ha causa mediata,2019S006871    
No hi ha causa mediata,2019S003722    
No hi ha causa mediata,2019S009972    
No hi ha causa mediata,2019S009607    
No hi ha causa mediata,2019S004955    
No hi ha causa mediata,2019S003535    
No hi ha causa mediata,2019S003081    
No hi ha causa mediata,2019S008020    
No hi ha causa mediata,2019S002089    
No hi ha causa mediata,2019S000104    
No hi ha causa mediata,2019S000567    
No hi ha causa mediata,2019S006209    
No hi ha causa mediata,2019S004509    
No hi ha causa mediata,2019S001369    
Alcoholèmia,2019S009589    
No hi ha causa mediata,2019S004729    
No hi ha causa mediata,2019S005851    
No hi ha causa mediata,2019S005858    
No hi ha causa mediata,2019S008864    
No hi ha causa mediata,2019S007775    
No hi ha causa mediata,2019S008652    
No hi ha causa mediata,2019S005825    
No hi ha causa mediata,2019S003024    
No hi ha causa mediata,2019S001733    
No hi ha causa mediata,2019S004011    
No hi ha causa mediata,2019S003855    
No hi ha causa mediata,2019S004770    
No hi ha causa mediata,2019S000313    
No hi ha causa mediata,2019S007234    
No hi ha causa mediata,2019S001277    
No hi ha causa mediata,2019S004434    
No hi ha causa mediata,2019S003685    
No hi ha causa mediata,2019S002184    
No hi ha causa mediata,2019S005486    
No hi ha causa mediata,2019S006429    
No hi ha causa mediata,2019S000533    
No hi ha causa mediata,2019S003311    
No hi ha causa mediata,2019S005193    
No hi ha causa mediata,2019S008376    
No hi ha causa mediata,2019S000469    
Calçada en mal estat,2019S005185    
No hi ha causa mediata,2019S005456    
No hi ha causa mediata,2019S005008    
No hi ha causa mediata,2019S004279    
No hi ha causa mediata,2019S000789    
No hi ha causa mediata,2019S005605    
No hi ha causa mediata,2019S000365    
No hi ha causa mediata,2019S009670    
No hi ha causa mediata,2019S006162    
No hi ha causa mediata,2019S003078    
No hi ha causa mediata,2019S002772    
No hi ha causa mediata,2019S007216    
No hi ha causa mediata,2019S006318    
No hi ha causa mediata,2019S004810    
No hi ha causa mediata,2019S003631    
No hi ha causa mediata,2019S000752    
No hi ha causa mediata,2019S002447    
No hi ha causa mediata,2019S007495    
No hi ha causa mediata,2019S006382    
No hi ha causa mediata,2019S005568    
No hi ha causa mediata,2019S004362    
No hi ha causa mediata,2019S005699    
No hi ha causa mediata,2019S009196    
No hi ha causa mediata,2019S009794    
No hi ha causa mediata,2019S000497    
No hi ha causa mediata,2019S002375    
Drogues o medicaments,2019S007957    
No hi ha causa mediata,2019S002489    
No hi ha causa mediata,2019S006458    
No hi ha causa mediata,2019S009964    
No hi ha causa mediata,2019S006891    
Alcoholèmia,2019S004271    
No hi ha causa mediata,2019S004804    
No hi ha causa mediata,2019S008696    
No hi ha causa mediata,2019S007710    
No hi ha causa mediata,2019S009875    
No hi ha causa mediata,2019S000954    
No hi ha causa mediata,2019S008628    
No hi ha causa mediata,2019S005452    
No hi ha causa mediata,2019S008853    
No hi ha causa mediata,2019S000361    
No hi ha causa mediata,2019S005767    
No hi ha causa mediata,2019S000715    
Excés de velocitat o inadequada,2019S000871    
No hi ha causa mediata,2019S002187    
No hi ha causa mediata,2019S004521    
No hi ha causa mediata,2019S001408    
No hi ha causa mediata,2019S006103    
No hi ha causa mediata,2019S007930    
No hi ha causa mediata,2019S002607    
No hi ha causa mediata,2019S008997    
No hi ha causa mediata,2019S007896    
No hi ha causa mediata,2019S008650    
No hi ha causa mediata,2019S006861    
No hi ha causa mediata,2019S000645    
No hi ha causa mediata,2019S005448    
No hi ha causa mediata,2019S008846    
No hi ha causa mediata,2019S002634    
No hi ha causa mediata,2019S003339    
No hi ha causa mediata,2019S000967    
No hi ha causa mediata,2019S006139    
No hi ha causa mediata,2019S005864    
No hi ha causa mediata,2019S003595    
No hi ha causa mediata,2019S009031    
No hi ha causa mediata,2019S000843    
No hi ha causa mediata,2019S000761    
No hi ha causa mediata,2019S000729    
No hi ha causa mediata,2019S007064    
Alcoholèmia,2019S008713    
No hi ha causa mediata,2019S007578    
No hi ha causa mediata,2019S004645    
Alcoholèmia,2019S006544    
No hi ha causa mediata,2019S004212    
No hi ha causa mediata,2019S010018    
No hi ha causa mediata,2019S000394    
No hi ha causa mediata,2019S009497    
No hi ha causa mediata,2019S005435    
Alcoholèmia,2019S000518    
No hi ha causa mediata,2019S009254    
No hi ha causa mediata,2019S002998    
No hi ha causa mediata,2019S008651    
No hi ha causa mediata,2019S000918    
No hi ha causa mediata,2019S009192    
No hi ha causa mediata,2019S006132    
No hi ha causa mediata,2019S003562    
No hi ha causa mediata,2019S005543    
No hi ha causa mediata,2019S001637    
No hi ha causa mediata,2019S000378    
No hi ha causa mediata,2019S002802    
No hi ha causa mediata,2019S003194    
No hi ha causa mediata,2019S008867    
No hi ha causa mediata,2019S008453    
No hi ha causa mediata,2019S003694    
No hi ha causa mediata,2019S003888    
No hi ha causa mediata,2019S006864    
No hi ha causa mediata,2019S005925    
No hi ha causa mediata,2019S000025    
